education_level,skills,certifications,experience_score,cgpa,career_label
Master,"TensorFlow, Pytorch, NLP",AWS Certified,9,100,AI Researcher
PhD,"SQL, Python, Deep Learning, Machine Learning",None,5.5,100,Data Scientist
PhD,"Python, Machine Learning",AWS Certified,6,100,Data Scientist
Bachelor,"TensorFlow, NLP, Pytorch",Deep Learning Specialization,3,85,AI Researcher
Bachelor,"Python, Machine Learning",Google ML,5.5,100,Data Scientist
Bachelor,"Ethical Hacking, Networking, Linux",Google ML,5,90,Cybersecurity Analyst
PhD,"SQL, React, Java",AWS Certified,8,100,Software Engineer
PhD,"Python, Machine Learning, SQL, Deep Learning",AWS Certified,4.5,100,Data Scientist
Bachelor,"Python, Deep Learning, SQL, Machine Learning",Google ML,3.5,100,Data Scientist
Master,"Ethical Hacking, Linux, Cybersecurity",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
Master,"Cybersecurity, Ethical Hacking, Networking, Linux",None,4,90,Cybersecurity Analyst
Bachelor,"Linux, Ethical Hacking, Networking, Cybersecurity",AWS Certified,5.5,100,Cybersecurity Analyst
PhD,"Pytorch, TensorFlow, Python",None,1.5,40,AI Researcher
Bachelor,"Ethical Hacking, Linux",AWS Certified,7.5,100,Cybersecurity Analyst
Master,"Cybersecurity, Linux",Deep Learning Specialization,1.5,45,Cybersecurity Analyst
PhD,"SQL, Machine Learning",Deep Learning Specialization,6,95,Data Scientist
Master,"SQL, Machine Learning",AWS Certified,6.5,100,Data Scientist
Master,"Linux, Cybersecurity",None,7.5,100,Cybersecurity Analyst
Master,"TensorFlow, NLP, Python",None,1.5,35,AI Researcher
Master,"Networking, Cybersecurity, Linux, Ethical Hacking",Google ML,8.5,100,Cybersecurity Analyst
PhD,"Deep Learning, SQL",None,2.5,45,Data Scientist
Master,"Pytorch, NLP, Python",AWS Certified,4.5,85,AI Researcher
Bachelor,"Networking, Cybersecurity, Ethical Hacking",Google ML,4.5,80,Cybersecurity Analyst
Bachelor,"Java, C++, React, SQL",Deep Learning Specialization,5.5,100,Software Engineer
Master,"Python, Machine Learning",None,3.5,80,Data Scientist
Master,"Networking, Ethical Hacking, Cybersecurity",None,4.5,100,Cybersecurity Analyst
Bachelor,"Deep Learning, SQL, Python",AWS Certified,4.5,85,Data Scientist
Bachelor,"React, SQL, C++",Google ML,4,80,Software Engineer
PhD,"SQL, Python",Deep Learning Specialization,8.5,100,Data Scientist
Master,"Machine Learning, Deep Learning, Python, SQL",None,5,100,Data Scientist
Bachelor,"SQL, Machine Learning, Python, Deep Learning",Google ML,5.5,100,Data Scientist
Master,"C++, React",None,2,35,Software Engineer
Bachelor,"SQL, Deep Learning, Python, Machine Learning",Google ML,6.5,100,Data Scientist
Master,"Pytorch, TensorFlow",None,5,75,AI Researcher
Master,"Networking, Cybersecurity, Ethical Hacking",None,6,100,Cybersecurity Analyst
PhD,"Java, React",Deep Learning Specialization,6.5,100,Software Engineer
PhD,"Machine Learning, Deep Learning, SQL, Python",None,4,65,Data Scientist
Bachelor,"Pytorch, NLP",None,3.5,45,AI Researcher
PhD,"SQL, Deep Learning, Python",None,4,80,Data Scientist
Master,"React, Java, C++, SQL",Deep Learning Specialization,5,100,Software Engineer
Master,"Java, C++, React, SQL",Deep Learning Specialization,6,100,Software Engineer
Bachelor,"Pytorch, Python",Deep Learning Specialization,3.5,55,AI Researcher
Master,"NLP, TensorFlow, Python",Deep Learning Specialization,1.5,40,AI Researcher
Master,"SQL, Python, Machine Learning, Deep Learning",Google ML,4,85,Data Scientist
PhD,"React, SQL, Java, C++",AWS Certified,3,65,Software Engineer
Bachelor,"Linux, Cybersecurity, Ethical Hacking",Deep Learning Specialization,8,100,Cybersecurity Analyst
PhD,"Linux, Ethical Hacking",AWS Certified,2,45,Cybersecurity Analyst
Master,"TensorFlow, NLP, Python",Deep Learning Specialization,6.5,100,AI Researcher
PhD,"Machine Learning, SQL, Python",None,8,100,Data Scientist
Bachelor,"Pytorch, Python, TensorFlow, NLP",AWS Certified,7,100,AI Researcher
Bachelor,"Pytorch, Python",None,6.5,100,AI Researcher
PhD,"Python, Deep Learning",None,9,100,Data Scientist
PhD,"C++, SQL, Java",Deep Learning Specialization,4,70,Software Engineer
Master,"Ethical Hacking, Cybersecurity, Linux",Deep Learning Specialization,1.5,55,Cybersecurity Analyst
Bachelor,"Python, TensorFlow",Deep Learning Specialization,2.5,50,AI Researcher
Master,"Cybersecurity, Ethical Hacking, Linux, Networking",Google ML,8,100,Cybersecurity Analyst
PhD,"TensorFlow, NLP",Google ML,3.5,85,AI Researcher
Bachelor,"Ethical Hacking, Cybersecurity, Networking",None,4,95,Cybersecurity Analyst
PhD,"NLP, Python, TensorFlow",Deep Learning Specialization,4,70,AI Researcher
Master,"Java, C++",Google ML,6,100,Software Engineer
Bachelor,"NLP, Pytorch, Python, TensorFlow",None,7,100,AI Researcher
Master,"Ethical Hacking, Linux, Cybersecurity, Networking",None,8.5,100,Cybersecurity Analyst
Bachelor,"C++, React",AWS Certified,3.5,65,Software Engineer
Master,"Cybersecurity, Ethical Hacking, Networking, Linux",Deep Learning Specialization,3.5,70,Cybersecurity Analyst
Master,"Python, NLP, TensorFlow",Google ML,3,65,AI Researcher
Bachelor,"Machine Learning, Python, Deep Learning",AWS Certified,3.5,75,Data Scientist
Bachelor,"Networking, Linux, Ethical Hacking",Google ML,5,100,Cybersecurity Analyst
Master,"C++, SQL",Google ML,1.5,45,Software Engineer
Bachelor,"SQL, Java",Google ML,4,65,Software Engineer
Bachelor,"TensorFlow, Python, NLP",None,3,60,AI Researcher
Master,"Linux, Ethical Hacking, Cybersecurity, Networking",AWS Certified,5.5,100,Cybersecurity Analyst
Bachelor,"SQL, Deep Learning, Python, Machine Learning",None,8.5,100,Data Scientist
Master,"TensorFlow, Python, NLP, Pytorch",AWS Certified,8,100,AI Researcher
Bachelor,"Linux, Networking, Cybersecurity, Ethical Hacking",None,5.5,80,Cybersecurity Analyst
PhD,"Pytorch, TensorFlow, Python, NLP",Google ML,6,100,AI Researcher
PhD,"Cybersecurity, Linux",None,4.5,100,Cybersecurity Analyst
Master,"Python, NLP",Google ML,1,35,AI Researcher
Bachelor,"Python, TensorFlow, Pytorch, NLP",None,5,100,AI Researcher
Master,"Java, SQL",Deep Learning Specialization,6,100,Software Engineer
PhD,"Linux, Ethical Hacking, Cybersecurity",AWS Certified,2.5,70,Cybersecurity Analyst
Bachelor,"Cybersecurity, Networking",Google ML,3.5,60,Cybersecurity Analyst
Bachelor,"Python, Deep Learning, Machine Learning",Deep Learning Specialization,3,65,Data Scientist
Bachelor,"Linux, Networking, Ethical Hacking",None,6.5,100,Cybersecurity Analyst
PhD,"Python, Pytorch",Deep Learning Specialization,5.5,90,AI Researcher
Master,"Cybersecurity, Networking, Ethical Hacking",AWS Certified,6,95,Cybersecurity Analyst
Master,"Python, NLP, Pytorch",Google ML,1,40,AI Researcher
Master,"React, C++, Java, SQL",AWS Certified,4,70,Software Engineer
Master,"Deep Learning, Python",AWS Certified,3.5,70,Data Scientist
Master,"SQL, Java, C++, React",None,7,100,Software Engineer
Master,"Cybersecurity, Linux, Networking",Deep Learning Specialization,3.5,60,Cybersecurity Analyst
Bachelor,"React, SQL",AWS Certified,3.5,90,Software Engineer
Bachelor,"Ethical Hacking, Linux, Cybersecurity, Networking",Deep Learning Specialization,4.5,80,Cybersecurity Analyst
Bachelor,"Python, Deep Learning",None,4,75,Data Scientist
PhD,"Python, TensorFlow, NLP, Pytorch",AWS Certified,6.5,100,AI Researcher
Master,"Deep Learning, SQL",Google ML,2.5,50,Data Scientist
Master,"Linux, Ethical Hacking",Deep Learning Specialization,5,100,Cybersecurity Analyst
Bachelor,"Deep Learning, Machine Learning, Python, SQL",AWS Certified,6,100,Data Scientist
Bachelor,"C++, SQL, React",Google ML,6,100,Software Engineer
Bachelor,"Linux, Networking",AWS Certified,3,50,Cybersecurity Analyst
Bachelor,"NLP, Pytorch",Deep Learning Specialization,5,80,AI Researcher
Bachelor,"Deep Learning, Python, SQL",Deep Learning Specialization,5,85,Data Scientist
Master,"Cybersecurity, Ethical Hacking, Linux",AWS Certified,5.5,100,Cybersecurity Analyst
Bachelor,"Deep Learning, Machine Learning, SQL",Google ML,4.5,95,Data Scientist
Master,"SQL, Java, React, C++",Deep Learning Specialization,4.5,95,Software Engineer
Master,"React, Java",AWS Certified,5,80,Software Engineer
Bachelor,"Python, NLP, TensorFlow, Pytorch",AWS Certified,9.5,100,AI Researcher
Master,"Pytorch, NLP, TensorFlow, Python",AWS Certified,8,100,AI Researcher
PhD,"TensorFlow, Python, Pytorch",None,4.5,100,AI Researcher
Bachelor,"SQL, Machine Learning",None,2,40,Data Scientist
Master,"React, C++, SQL, Java",Deep Learning Specialization,6,100,Software Engineer
Bachelor,"NLP, Pytorch, TensorFlow",Deep Learning Specialization,5,100,AI Researcher
Master,"Java, C++, React",None,5,100,Software Engineer
Bachelor,"Cybersecurity, Linux",Google ML,9,100,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning, Deep Learning",Deep Learning Specialization,1,35,Data Scientist
Bachelor,"TensorFlow, Pytorch, Python",AWS Certified,7,100,AI Researcher
Bachelor,"Python, Pytorch",Google ML,4.5,100,AI Researcher
PhD,"Ethical Hacking, Linux, Networking",AWS Certified,5.5,85,Cybersecurity Analyst
Bachelor,"TensorFlow, NLP",AWS Certified,6,100,AI Researcher
Master,"Python, TensorFlow",AWS Certified,0.5,25,AI Researcher
Master,"NLP, Python, Pytorch",AWS Certified,0.5,35,AI Researcher
Master,"NLP, TensorFlow",Google ML,4,95,AI Researcher
Master,"Networking, Ethical Hacking",AWS Certified,2.5,45,Cybersecurity Analyst
Bachelor,"SQL, React",Deep Learning Specialization,7.5,100,Software Engineer
Master,"SQL, Machine Learning, Deep Learning, Python",Google ML,8,100,Data Scientist
PhD,"Cybersecurity, Linux, Networking, Ethical Hacking",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
PhD,"Machine Learning, SQL, Python",Google ML,3.5,60,Data Scientist
Bachelor,"Ethical Hacking, Cybersecurity",None,4,50,Cybersecurity Analyst
PhD,"Linux, Cybersecurity",AWS Certified,1.5,45,Cybersecurity Analyst
Master,"NLP, Pytorch, Python",None,5.5,100,AI Researcher
Master,"Networking, Linux",Deep Learning Specialization,5,85,Cybersecurity Analyst
PhD,"NLP, TensorFlow",Deep Learning Specialization,3.5,90,AI Researcher
Master,"Deep Learning, Machine Learning, Python",AWS Certified,2,60,Data Scientist
Bachelor,"React, C++, SQL, Java",Deep Learning Specialization,5.5,100,Software Engineer
Master,"Cybersecurity, Networking, Ethical Hacking",AWS Certified,7,100,Cybersecurity Analyst
PhD,"Deep Learning, Machine Learning",Google ML,0.5,25,Data Scientist
Master,"C++, SQL, React",Deep Learning Specialization,7.5,100,Software Engineer
Master,"Python, TensorFlow, Pytorch, NLP",Google ML,5,100,AI Researcher
Master,"Pytorch, Python, NLP, TensorFlow",Deep Learning Specialization,4.5,75,AI Researcher
Bachelor,"Python, TensorFlow",None,3,55,AI Researcher
Bachelor,"Python, Deep Learning",None,4.5,90,Data Scientist
PhD,"Ethical Hacking, Cybersecurity, Networking",Deep Learning Specialization,3.5,70,Cybersecurity Analyst
Master,"C++, React, SQL, Java",None,1.5,45,Software Engineer
Bachelor,"Python, SQL, Deep Learning",None,9,100,Data Scientist
Master,"Python, Deep Learning, SQL, Machine Learning",None,4.5,75,Data Scientist
Master,"Ethical Hacking, Networking",Deep Learning Specialization,5,100,Cybersecurity Analyst
PhD,"TensorFlow, Python",Deep Learning Specialization,5.5,85,AI Researcher
Bachelor,"Cybersecurity, Networking, Linux",AWS Certified,2.5,60,Cybersecurity Analyst
Bachelor,"Machine Learning, Python, SQL",None,5.5,100,Data Scientist
Bachelor,"Java, C++, React, SQL",None,6,100,Software Engineer
Master,"Pytorch, Python, NLP, TensorFlow",Deep Learning Specialization,6,100,AI Researcher
Bachelor,"Deep Learning, Python, Machine Learning, SQL",None,4,70,Data Scientist
Bachelor,"Networking, Linux, Ethical Hacking, Cybersecurity",Deep Learning Specialization,2,60,Cybersecurity Analyst
Master,"Networking, Cybersecurity, Linux, Ethical Hacking",Google ML,6,100,Cybersecurity Analyst
Bachelor,"SQL, Deep Learning",Google ML,6,100,Data Scientist
Master,"Python, Pytorch, TensorFlow",None,5.5,75,AI Researcher
Master,"Linux, Ethical Hacking",Google ML,9.5,100,Cybersecurity Analyst
PhD,"React, Java, SQL, C++",Deep Learning Specialization,7.5,100,Software Engineer
PhD,"NLP, Python, TensorFlow, Pytorch",Deep Learning Specialization,6,100,AI Researcher
Bachelor,"Python, NLP",Google ML,9,100,AI Researcher
Bachelor,"SQL, Python, Machine Learning",AWS Certified,7.5,100,Data Scientist
Master,"React, SQL, C++",None,5.5,75,Software Engineer
Bachelor,"Machine Learning, SQL, Python",Google ML,6,100,Data Scientist
Master,"Python, SQL",Deep Learning Specialization,4,65,Data Scientist
Bachelor,"Deep Learning, SQL",AWS Certified,3,80,Data Scientist
Bachelor,"SQL, Java",None,5.5,80,Software Engineer
Bachelor,"Cybersecurity, Ethical Hacking, Networking",None,3.5,50,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning, Python, Deep Learning",Google ML,7,100,Data Scientist
PhD,"Deep Learning, SQL, Python, Machine Learning",Deep Learning Specialization,1,45,Data Scientist
Master,"C++, SQL",Google ML,5,95,Software Engineer
Master,"Networking, Ethical Hacking, Linux, Cybersecurity",Google ML,7.5,100,Cybersecurity Analyst
Master,"Cybersecurity, Ethical Hacking, Linux",AWS Certified,5.5,85,Cybersecurity Analyst
Bachelor,"Cybersecurity, Networking, Ethical Hacking, Linux",None,3,60,Cybersecurity Analyst
Bachelor,"Machine Learning, Python, Deep Learning",Deep Learning Specialization,4.5,80,Data Scientist
Master,"TensorFlow, Python, NLP",AWS Certified,4.5,100,AI Researcher
Bachelor,"SQL, Java, C++, React",AWS Certified,4,70,Software Engineer
Master,"Deep Learning, SQL",Google ML,6.5,100,Data Scientist
Master,"Networking, Linux, Cybersecurity, Ethical Hacking",Deep Learning Specialization,4,95,Cybersecurity Analyst
Bachelor,"Python, Deep Learning",None,7.5,100,Data Scientist
Bachelor,"Ethical Hacking, Linux",Deep Learning Specialization,5,100,Cybersecurity Analyst
PhD,"C++, Java, SQL",Deep Learning Specialization,3.5,75,Software Engineer
Master,"Deep Learning, Python",AWS Certified,6.5,100,Data Scientist
Bachelor,"Machine Learning, Python, Deep Learning",None,4.5,100,Data Scientist
Master,"Ethical Hacking, Linux, Cybersecurity",None,6.5,100,Cybersecurity Analyst
Bachelor,"SQL, React, C++",AWS Certified,3.5,95,Software Engineer
PhD,"Networking, Cybersecurity, Ethical Hacking, Linux",AWS Certified,2.5,55,Cybersecurity Analyst
Master,"SQL, Java",AWS Certified,6,100,Software Engineer
Bachelor,"Python, Deep Learning, SQL, Machine Learning",AWS Certified,5,85,Data Scientist
PhD,"TensorFlow, Pytorch",AWS Certified,4.5,90,AI Researcher
Bachelor,"Linux, Cybersecurity, Networking",AWS Certified,1.5,50,Cybersecurity Analyst
Master,"Ethical Hacking, Linux",Deep Learning Specialization,3.5,90,Cybersecurity Analyst
Bachelor,"Java, SQL, React, C++",Deep Learning Specialization,7,100,Software Engineer
Master,"Pytorch, TensorFlow",AWS Certified,4,70,AI Researcher
Master,"C++, SQL",AWS Certified,7.5,100,Software Engineer
Bachelor,"Networking, Linux, Ethical Hacking, Cybersecurity",None,2,60,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning",AWS Certified,4,60,Data Scientist
Bachelor,"C++, Java",None,4,50,Software Engineer
Master,"Deep Learning, SQL, Python, Machine Learning",AWS Certified,4,100,Data Scientist
Bachelor,"Python, NLP, TensorFlow",Google ML,7.5,100,AI Researcher
Master,"Cybersecurity, Networking",None,6,85,Cybersecurity Analyst
Master,"Deep Learning, Machine Learning, SQL, Python",Deep Learning Specialization,5.5,90,Data Scientist
Master,"Cybersecurity, Ethical Hacking, Networking, Linux",Google ML,8,100,Cybersecurity Analyst
Master,"Ethical Hacking, Cybersecurity, Linux, Networking",Google ML,3.5,65,Cybersecurity Analyst
Bachelor,"SQL, Java, React",None,6,90,Software Engineer
